OFNS_DESC,Latitude,Longitude
CRIMINAL MISCHIEF & RELATED OF,40.597233004,-74.085198795
HARRASSMENT 2,40.636369999,-74.11750657
ASSAULT 3 & RELATED OFFENSES,40.638984176,-74.171252305
ASSAULT 3 & RELATED OFFENSES,40.632048593,-74.147092234
PETIT LARCENY,40.578175676,-74.169526838
HARRASSMENT 2,40.595753238,-74.07791244100001
BURGLARY,40.629804792,-74.160384724
CRIMINAL MISCHIEF & RELATED OF,40.544317067,-74.218993416
DANGEROUS DRUGS,40.595753238,-74.07791244100001
CRIMINAL MISCHIEF & RELATED OF,40.628671545,-74.13674532
PETIT LARCENY,40.59939998,-74.12812573800001
MISCELLANEOUS PENAL LAW,40.604774072,-74.130765009
HARRASSMENT 2,40.641707559000004,-74.08430070899999
OFF. AGNST PUB ORD SENSBLTY &,40.608890955999996,-74.153235851
CRIMINAL MISCHIEF & RELATED OF,40.638588239,-74.13694579999999
CRIMINAL MISCHIEF & RELATED OF,40.639177015,-74.131041413
CRIMINAL MISCHIEF & RELATED OF,40.545707638,-74.219544891
HARRASSMENT 2,40.595753238,-74.07791244100001
ASSAULT 3 & RELATED OFFENSES,40.625866926,-74.16554838399999
FRAUDS,40.629884938000004,-74.158007155
DANGEROUS DRUGS,40.533870013000005,-74.23973475
INTOXICATED & IMPAIRED DRIVING,40.588935377,-74.16761710600001
ASSAULT 3 & RELATED OFFENSES,40.565183394,-74.115009492
BURGLARY,40.629121018,-74.114777426
ASSAULT 3 & RELATED OFFENSES,40.57355041,-74.116895705
BURGLARY,40.621210231999996,-74.083248193
PETIT LARCENY,40.582301992,-74.168936095
HARRASSMENT 2,40.519858057,-74.187966906
ASSAULT 3 & RELATED OFFENSES,40.635225033000005,-74.106641643
PETIT LARCENY,40.640739595999996,-74.090284486
CRIMINAL MISCHIEF & RELATED OF,40.608461244000004,-74.082436361
GRAND LARCENY,40.635561784000004,-74.11603153
FELONY ASSAULT,40.585815091,-74.163418533
GRAND LARCENY,40.554640053,-74.194768978
DANGEROUS DRUGS,40.634227943,-74.121228198
MISCELLANEOUS PENAL LAW,40.633655523,-74.14613020600001
PETIT LARCENY,40.586253708,-74.092417814
GRAND LARCENY OF MOTOR VEHICLE,40.580622571999996,-74.159039012
HARRASSMENT 2,40.624256202,-74.12872101399999
ROBBERY,40.617875887,-74.082444386
GRAND LARCENY,40.608178744,-74.162191142
HARRASSMENT 2,40.600685498000004,-74.177027457
PETIT LARCENY,40.631909107,-74.123328007
CRIMINAL MISCHIEF & RELATED OF,40.605657172,-74.147250168
GRAND LARCENY,40.624096443,-74.134016168
PETIT LARCENY,40.527595098,-74.191657765
HARRASSMENT 2,40.634713241,-74.167551942
PETIT LARCENY,40.608204514,-74.16907007100001
GRAND LARCENY,40.609688744,-74.15598208600001
OTHER STATE LAWS (NON PENAL LA,40.595939187,-74.086558259
MISCELLANEOUS PENAL LAW,40.595753238,-74.07791244100001
HARRASSMENT 2,40.608806306,-74.115261119
HARRASSMENT 2,40.533939359,-74.152553157
PETIT LARCENY,40.623226819,-74.149226973
HARRASSMENT 2,40.546261446,-74.165970047
INTOXICATED & IMPAIRED DRIVING,40.538020028000005,-74.153210062
CRIMINAL MISCHIEF & RELATED OF,40.604015196,-74.069156593
FELONY ASSAULT,40.645337665,-74.102711974
HARRASSMENT 2,40.586809204,-74.091108058
ASSAULT 3 & RELATED OFFENSES,40.599423676,-74.129026039
HARRASSMENT 2,40.613533994,-74.116843262
MISCELLANEOUS PENAL LAW,40.595753238,-74.07791244100001
HARRASSMENT 2,40.631909107,-74.123328007
GRAND LARCENY,40.613724029000004,-74.084820045
PETIT LARCENY,40.621851848,-74.133460519
CRIMINAL MISCHIEF & RELATED OF,40.632575541,-74.131262632
HARRASSMENT 2,40.623226819,-74.149226973
CRIMINAL MISCHIEF & RELATED OF,40.499758708,-74.24037114
CRIMINAL MISCHIEF & RELATED OF,40.632802894,-74.134044461
OFFENSES AGAINST PUBLIC ADMINI,40.618792931,-74.082049292
PETIT LARCENY,40.562964639,-74.10748724
HARRASSMENT 2,40.592557797,-74.096632101
BURGLARY,40.618792931,-74.082049292
DANGEROUS DRUGS,40.640406999,-74.08365768899999
HARRASSMENT 2,40.558379879,-74.197173094
ASSAULT 3 & RELATED OFFENSES,40.59820045,-74.133002734
HARRASSMENT 2,40.609659205999996,-74.128872946
OFF. AGNST PUB ORD SENSBLTY &,40.636099595,-74.113449113
OFF. AGNST PUB ORD SENSBLTY &,40.617519383,-74.081997299
GRAND LARCENY,40.621851848,-74.133460519
HARRASSMENT 2,40.5945994,-74.07940541
PETIT LARCENY,40.610340778,-74.079463752
PETIT LARCENY,40.595690465,-74.140948353
HARRASSMENT 2,40.63968673,-74.077441276
GRAND LARCENY,40.626475544,-74.07405402399999
INTOXICATED & IMPAIRED DRIVING,40.635862542,-74.16618929399999
OFF. AGNST PUB ORD SENSBLTY &,40.615491223,-74.08165623
PETIT LARCENY,40.634295313,-74.117139022
ASSAULT 3 & RELATED OFFENSES,40.608619309,-74.118307681
